Ancien/Nouveau;[<200];[200-400];[400-500];[500-550];[550-600];[600-900];[900-950];[950-1000];[1000-1100];[1100-1300];[>1300]
[<200];0.37;0.011;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[200-400];0.011;0.228;0.018;0.001;0.001;0.001;0.0;0.0;0.0;0.0;0.0
[400-500];0.001;0.017;0.1;0.013;0.003;0.003;0.0;0.0;0.0;0.0;0.0
[500-550];0.0;0.002;0.013;0.031;0.011;0.002;0.0;0.0;0.0;0.0;0.0
[550-600];0.0;0.001;0.003;0.011;0.025;0.012;0.0;0.0;0.0;0.0;0.0
[600-900];0.0;0.001;0.002;0.003;0.012;0.089;0.001;0.0;0.0;0.0;0.0
[900-950];0.0;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0
[950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.0
[1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0