Ancien/Nouveau;[<16];[16-17];[17-18];[18-19.5];[19.5-20.8];[20.8-23.2];[23.2-24.5];[24.5-26];[26-27];[27-28] ;[>28]
[<16] / [<200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [200-400];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [400-500];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [550-600];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [600-900];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [<200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [200-400];0.0;0.00032;0.00032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [400-500];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [550-600];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [600-900];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [<200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [200-400];0.0;0.0;0.004803;0.000961;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [400-500];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [550-600];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [600-900];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [<200];0.0;0.0;0.0;0.019533;0.003522;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [200-400];0.0;0.0;0.00064;0.033942;0.002562;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [400-500];0.0;0.0;0.0;0.026257;0.002241;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [500-550];0.0;0.0;0.0;0.002882;0.00032;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [550-600];0.0;0.0;0.0;0.001921;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [600-900];0.0;0.0;0.0;0.002241;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [<200];0.0;0.00032;0.0;0.003522;0.055716;0.002562;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [200-400];0.0;0.0;0.0;0.002882;0.089657;0.002241;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [400-500];0.0;0.0;0.0;0.001281;0.039065;0.000961;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [500-550];0.0;0.0;0.0;0.0;0.009286;0.0;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [550-600];0.0;0.0;0.0;0.00032;0.008646;0.0;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [600-900];0.0;0.0;0.0;0.0;0.023055;0.000961;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [900-950];0.0;0.0;0.0;0.0;0.002562;0.00032;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.00064;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[20.8-23.2] / [<200];0.0;0.0;0.0;0.00032;0.002882;0.081012;0.002241;0.0;0.0;0.0;0.0
[20.8-23.2] / [200-400];0.0;0.0;0.0;0.0;0.002241;0.113032;0.010247;0.0;0.0;0.0;0.0
[20.8-23.2] / [400-500];0.0;0.0;0.0;0.0;0.00064;0.050913;0.001601;0.0;0.0;0.0;0.0
[20.8-23.2] / [500-550];0.0;0.0;0.0;0.0;0.00032;0.011527;0.004483;0.0;0.0;0.0;0.0
[20.8-23.2] / [550-600];0.0;0.0;0.0;0.0;0.0;0.013769;0.004163;0.0;0.0;0.0;0.0
[20.8-23.2] / [600-900];0.0;0.0;0.0;0.0;0.00032;0.058277;0.005123;0.0;0.0;0.0;0.0
[20.8-23.2] / [900-950];0.0;0.0;0.0;0.0;0.00032;0.009286;0.00064;0.0;0.0;0.0;0.0
[20.8-23.2] / [950-1000];0.0;0.0;0.0;0.0;0.00064;0.028498;0.003842;0.0;0.0;0.0;0.0
[20.8-23.2] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[20.8-23.2] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[20.8-23.2] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[23.2-24.5] / [<200];0.0;0.0;0.0;0.0;0.0;0.002882;0.012488;0.00032;0.0;0.0;0.0
[23.2-24.5] / [200-400];0.0;0.0;0.0;0.0;0.0;0.010887;0.026577;0.00032;0.0;0.0;0.0
[23.2-24.5] / [400-500];0.0;0.0;0.0;0.0;0.0;0.002882;0.024336;0.00032;0.0;0.0;0.0
[23.2-24.5] / [500-550];0.0;0.0;0.0;0.0;0.0;0.004483;0.01505;0.0;0.0;0.0;0.0
[23.2-24.5] / [550-600];0.0;0.0;0.0;0.0;0.0;0.002562;0.011207;0.001281;0.0;0.0;0.0
[23.2-24.5] / [600-900];0.0;0.0;0.0;0.0;0.0;0.004803;0.028178;0.001601;0.0;0.0;0.0
[23.2-24.5] / [900-950];0.0;0.0;0.0;0.0;0.0;0.00064;0.004483;0.0;0.0;0.0;0.0
[23.2-24.5] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.002882;0.009286;0.00064;0.0;0.0;0.0
[23.2-24.5] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[23.2-24.5] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[23.2-24.5] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[24.5-26] / [<200];0.0;0.0;0.0;0.0;0.0;0.0;0.00064;0.006084;0.0;0.0;0.0
[24.5-26] / [200-400];0.0;0.0;0.0;0.0;0.0;0.0;0.00032;0.0;0.0;0.0;0.0
[24.5-26] / [400-500];0.0;0.0;0.0;0.0;0.0;0.0;0.00032;0.0;0.00032;0.0;0.0
[24.5-26] / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;0.000961;0.001601;0.0;0.0;0.0
[24.5-26] / [550-600];0.0;0.0;0.0;0.0;0.0;0.0;0.000961;0.000961;0.0;0.0;0.0
[24.5-26] / [600-900];0.0;0.0;0.0;0.0;0.0;0.0;0.000961;0.011848;0.001601;0.0;0.0
[24.5-26] / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003522;0.0;0.0;0.0
[24.5-26] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012808;0.003202;0.0;0.0
[24.5-26] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[24.5-26] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[24.5-26] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[26-27] / [<200];0.0;0.0;0.0;0.0;0.0;0.00032;0.0;0.00032;0.001281;0.00032;0.0
[26-27] / [200-400];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004163;0.0;0.0
[26-27] / [400-500];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00064;0.0;0.0
[26-27] / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00064;0.00032;0.0
[26-27] / [550-600];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00064;0.00064;0.0
[26-27] / [600-900];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001281;0.002882;0.00032;0.0
[26-27] / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001601;0.00032;0.0
[26-27] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003202;0.001281;0.0;0.0
[26-27] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[26-27] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[26-27] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [<200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00064;0.003842;0.0
[27-28]  / [200-400];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004483;0.0
[27-28]  / [400-500];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001601;0.0
[27-28]  / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00032;0.0;0.0
[27-28]  / [550-600];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [600-900];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000961;0.00032;0.0
[27-28]  / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [<200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [200-400];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [400-500];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [550-600];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [600-900];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0